﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.26768234,-0.490366007,1,0,0,LeftButton,"[""LeftButton""]",60,3.8064,space,,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,0.8994,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.263533235,-0.509106839,1,0,0,LeftButton,"[""LeftButton""]",63,2.6756,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,1.2035,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.259254394,-0.475373342,1,0,0,RightButton,"[""RightButton""]",,,,,,,,76,3.6362,space,21,4.7488,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,0.4834,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.249011369,-0.48849179,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.242657975,-0.501610506,1,0,0,RightButton,"[""RightButton""]",58,2.8105,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,1.4516,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.29244733,-0.479121508,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.269627205,-0.501610506,1,0,0,RightButton,"[""RightButton""]",59,2.2094,space,,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,,1.2307,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.313192853,-0.510980966,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,68.21665446,1.2586,space,43.70078248,2.2412,0,32,32,32,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.4336,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.221912452,-0.499736378,1,0,0,RightButton,"[""RightButton""]",59,1.5666,space,,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,0.3381,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.300745539,-0.495988391,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,46.84384478,1.6249,space,54.17765017,2.5938,0,34,34,34,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.3076,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.29244733,-0.512855094,1,0,0,RightButton,"[""RightButton""]",,,,,,,,62,2.6632,space,21,3.8454,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.1806,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.261328996,-0.509106839,1,0,0,RightButton,"[""RightButton""]",,,,3.028328693,1.5819,space,0.3318,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.344311187,-0.510980966,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.80625663,1.6763,space,63.60682709,3.6422,0,37,37,37,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.3021,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.250956184,-0.518477299,1,0,0,RightButton,"[""RightButton""]",,,,,,,,48,2.9822,space,24,5.0167,,,,,,0,38,38,38,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,1.5374,,,,,,,,,,,,,,,,
