﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.228125016,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,4.286458492,2.0713,space,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,0.6941,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.284375032,-0.475926011,1,0,0,RightButton,"[""RightButton""]",19,2.4845,space,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,0.6021,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.269791683,-0.487037094,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.269791683,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",,,,4.432291985,3.3092,space,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,2.7725,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.278125048,-0.492592564,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,85.77441077,4.5487,space,10.54292929,5.6594,0,30,30,30,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,3.3622,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.221874952,-0.535185213,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,93,1.244,space,23,3.5255,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.4234,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.260416667,-0.488888917,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,32,32,32,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.275000016,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",41,2.6305,space,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,0.5309,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.239583333,-0.464814787,1,0,0,RightButton,"[""RightButton""]",,,,4.427083333,1.8613,space,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,0.6331,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.292708317,-0.538888861,1,0,0,RightButton,"[""RightButton""]",43,2.1144,space,,,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,,0.4499,,,,,,,,,,
