chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.329020182,-0.51055313,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,7.9283,space,1,13.0263,,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.877,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277370877,-0.507265625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.79414808,4.4153,space,1.0982,1.366420279,6.919,0,26,26,26,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275981988,-0.525121528,1,0,0,RightButton,"[""RightButton""]",,,,3.01820204,4.4924,space,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,1.0623,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.30164388,-0.503680556,1,0,0,RightButton,"[""RightButton""]",,,,3.996446398,2.3657,space,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,0.9394,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.327967665,-0.519678819,1,0,0,RightButton,"[""RightButton""]",2,3.1143,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,1.24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.234928385,-0.508654514,1,0,0,RightButton,"[""RightButton""]",,,,,,,78,3.362,space,80,9.167,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,4.4343,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.328548177,-0.527170139,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.037809245,-0.787857078,0,0,0,,[],,,,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,99,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.362923177,-0.531875455,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.041189236,-0.591350528,0,0,0,,[],,,,,,,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,178,,,,,
