chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.245833317,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,6.4238,space,0,2.3362,0,30,30,30,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,0.5759,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270833333,-0.505555612,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25,-0.459259316,1,0,0,LeftButton,"[""LeftButton""]",80,7.5523,space,,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,4.3006,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323958317,-0.520370342,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.45286195,3.3059,space,0.231482284,2.0788,0,33,33,33,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,0.4502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.307291667,-0.511111083,1,0,0,RightButton,"[""RightButton""]",,,,,,,,31,3.9332,space,0,6.8315,,,,,,0,34,34,34,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,1.0676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.205208381,-0.535185213,1,0,0,RightButton,"[""RightButton""]",,,,2.489583492,3.731,space,2.4833,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333286,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,4,3.781,space,1,1.9627,,,,,,0,36,36,36,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.5917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.332291683,-0.505555612,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.41919674,2.2428,space,34.53283149,3.9558,0,37,37,37,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,0.6727,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251041651,-0.490740741,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.8395,space,0,4.2367,,,,,,0,38,38,38,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.2353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.309375048,-0.529629601,1,0,0,RightButton,"[""RightButton""]",,,,4.880208174,2.6801,space,1.2201,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,
