chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.303938802,-0.527022569,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25422092,-0.510572917,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.9971,space,87,6.6393,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,0.7725,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.241129557,-0.537100694,1,0,0,LeftButton,"[""LeftButton""]",,,,3.048665365,1.3229,space,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,0.362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.27249349,-0.49265625,1,0,0,LeftButton,"[""LeftButton""]",,,,2.466851128,2.3155,space,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,0.371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322965495,-0.530338542,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,30,30,30,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295073785,-0.528298611,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,14,3.0611,space,58,4.4174,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,0.3174,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.33445638,-0.536458333,1,0,0,RightButton,"[""RightButton""]",,,,2.406141493,5.4832,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,0.4856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269585503,-0.489114583,1,0,0,LeftButton,"[""LeftButton""]",4,2.1533,space,,,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.3009,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.347932943,-0.533394097,1,0,0,RightButton,"[""RightButton""]",,,,3.011257595,7.7546,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,,5.7884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33320855,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,41,2.2645,space,37,3.6983,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.4106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302235243,-0.542682292,1,0,0,RightButton,"[""RightButton""]",1,1.8913,space,,,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,0.3175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24953342,-0.501545139,1,0,0,LeftButton,"[""LeftButton""]",20,3.1196,space,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,0.2398,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.378130425,-0.541519097,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,72.02800575,7.954,space,27.12585929,5.0565,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,5.1859,,,
